arm,task,trial,success,blocked,wall_sec,iterations,cost_usd,opus_in,opus_out,opus_cache_w,opus_cache_r,haiku_in,haiku_out,haiku_cache_w,haiku_cache_r,qwen_present,verify_exit
A,T3,0,1,0,59.89,6,0.170234,1748,769,3679,11572,0,0,0,0,0,0
A,T1,0,0,0,0.54,0,0.0,0,0,0,0,0,0,0,0,0,
A,T1,0,1,0,205.45,25,1.240003,3770,3020,24955,326031,0,0,0,0,0,0
A,T2,0,1,0,187.94,20,0.856063,3633,4679,12283,146891,0,0,0,0,0,0
A,T3,1,1,0,69.36,6,0.170234,1748,769,3679,11572,0,0,0,0,0,0
A,T3,2,1,0,123.52,16,0.425471,1758,2192,7281,65455,0,0,0,0,0,0
A,T2,1,0,0,355.71,40,1.704843,3571,7877,20172,454852,0,0,0,0,0,1
A,T2,1,1,0,261.7,27,1.143898,3640,6191,14691,233011,0,0,0,0,0,0
A,T2,2,1,0,233.12,26,1.10861,1711,6142,15208,224763,0,0,0,0,0,0
A,T1,1,1,0,253.09,40,1.842089,3785,6193,23732,583909,0,0,0,0,0,0
A,T1,2,1,0,362.57,36,1.736581,3783,5757,24099,530803,0,0,0,0,0,0
B,T3,0,1,0,347.81,12,0.41791,2045,1841,8423,60819,0,0,0,0,1,0
B,T1,0,0,0,284.27,30,1.447683,2062,4293,23872,431452,0,0,0,0,1,1
B,T1,1,1,0,419.13,47,2.600462,2079,8890,28926,906776,0,0,0,0,1,0
B,T2,0,1,0,442.63,30,1.381767,2006,7165,17710,321493,0,0,0,0,1,0
B,T3,1,1,0,449.01,21,0.703969,2054,3435,10675,143585,0,0,0,0,1,0
B,T3,2,1,0,297.62,12,0.424502,2045,1898,8579,60414,0,0,0,0,1,0
B,T2,1,1,0,530.61,20,1.203796,1996,7238,17203,205633,0,0,0,0,1,0
B,T2,2,1,0,359.49,27,1.484611,2003,8295,19444,311911,0,0,0,0,1,0
B,T1,2,1,0,486.1,38,2.052053,2070,7115,26549,659723,0,0,0,0,1,0
B,T1,3,1,0,483.51,35,2.272792,2067,7169,32400,731075,0,0,0,0,1,0
C,T3,0,1,0,129.34,9,0.346099,2042,1406,5852,27593,42488,2169,4457,0,0,0
C,T1,0,1,0,400.4,18,1.077752,2050,3803,17089,170101,15765,9774,62382,435940,0,0
C,T2,0,1,0,236.92,20,0.91509,1996,4382,12818,157644,27280,4754,11692,140311,0,0
C,T3,1,1,0,145.18,11,0.381867,2044,1763,6522,41972,17493,1551,5257,19177,0,0
C,T3,2,1,0,189.1,11,0.433085,2044,1731,7956,42282,38411,2757,5116,14108,0,0
C,T2,1,1,0,274.55,17,0.911869,1993,4319,12948,117800,43119,7981,25920,231498,0,0
C,T2,2,1,0,415.4,36,1.434682,2012,6585,16600,358191,11897,3954,13125,140174,0,0
C,T1,1,1,0,345.54,32,2.065895,2064,7582,28735,546156,36189,5237,20756,199508,0,0
C,T1,2,1,0,528.12,28,1.670075,2060,5325,25376,419562,23667,8619,29825,306141,0,0
D,T3,0,1,0,167.77,29,0.083419,0,0,0,0,21441,4311,15338,212506,0,0
D,T1,0,0,0,249.08,40,0.11502,0,0,0,0,10401,5847,21122,489813,0,1
D,T1,1,1,0,328.77,61,0.192602,0,0,0,0,10616,10377,26967,963922,0,0
D,T2,0,0,0,517.73,80,0.314052,0,0,0,0,14545,14833,37622,1783146,0,1
D,T3,1,1,0,207.71,29,0.070052,0,0,0,0,21444,3360,11637,172620,0,0
D,T3,2,1,0,222.32,25,0.075699,0,0,0,0,21123,3621,14745,180393,0,0
D,T2,1,1,0,497.61,81,0.311325,0,0,0,0,12911,16781,38053,1669427,0,0
D,T2,2,1,0,605.61,70,0.226875,0,0,0,0,10662,10687,31181,1238019,0,0
D,T2,3,1,0,506.94,67,0.233068,0,0,0,0,8447,12299,32907,1219922,0,0
D,T1,2,1,0,757.48,89,0.303442,0,0,0,0,15575,12182,34821,1834307,0,0
D,T1,3,1,0,876.98,92,0.431838,0,0,0,0,23859,14776,52535,2684304,0,0
